波特率115200bps
P24:每次BT_TX引脚发送数据之前，P24都会有一个短暂的高电平时间，然后恢复低电平
但是有一个命令除外，该命令在P24位高电平过程中发送。【BT_TX	04 FF 05 08 00 99 00 01】
P20引脚全程高电平
EAN全程低电平
RST_N默认高电平

RST_N引脚低电平，蓝牙模块复位

BT_TX 是蓝牙的tx引脚
BT_RX 是蓝牙的rx引脚


BT_TX	04 0E 04 04 00 00 00
BT_RX	01 03 0C 00
BT_TX	04 0E 04 04 03 0C 00
BT_RX	01 08 FC 09 00 A1 00 00 00 14 0C FF 00
BT_TX	04 FF 1B 08 00 A1 00 00 00 14 0C 00 0F 38 2E 30 30 2E 37 32 42 20 52 4F 4D 3D 35 30 31 00
BT_RX	01 13 10 06 24 5F 22 B8 64 DC
BT_TX	04 0E 04 04 13 10 00
BT_RX	01 08 FC 03 00 93 FF
BT_TX	04 FF 05 08 00 93 00 FF
BT_RX	01 08 FC 2F 00 A0 00 00 00 14 55 FF 10 25 00 38 F8 0C 00 05 32 87 F7 E1 FC 00 28 79 D0 13 28 1A D0 08 4C 2F 25 61 68 6D 01 49 19 89 7D 00 29 6F D1 02 1C
BT_TX	04 FF 0A 08 00 A0 00 00 00 14 55 00 00
BT_RX	01 08 FC FA 00 A0 00 00 00 14 56 FF 10 F0 00 72 05 00 FF B5 91 B0 00 20 01 23 0F 90 11 1C 05 93 1C 9A 00 23 0D 90 03 93 00 93 07 90 06 90 10 70 99 4A 2F 23 12 68 5B 01 D2 18 90 75 11 A8 05 C8 00 27 00 26 00 25 90 42 02 D8 11 98 00 28 07 D1 11 98 1B 9A 10 80 01 20 15 B0 F0 BC 08 BC 18 47 14 98 02 28 05 D1 48 78 09 78 00 02 08 43 06 1C 06 E0 14 98 10 28 0D D1 10 22 08 A8 F1 F7 E1 FF 0F 21 07 20 0E 90 10 91 77 F0 88 FF FF 28 03 D1 0E 20 E1 E7 04 20 DF E7 6E F0 CC FA 02 90 0F 99 CA E0 0D 98 44 23 7C 49 58 43 40 18 0C 99 C9 00 44 58 40 18 04 90 B8 E0 14 98 A2 7C 10 28 08 D1 10 2A 11 D1 A1 1C 08 A8 F1 F7 8F FF 00 06 00 0E 09 E0 14 98 02 28 07 D1 02 2A 05 D1 61 88 01 20 B1 42 00 D1 00 20 05 90 05 98 00 28 71 D1 20 88 11 99 88 42 6D D3 12 99 88 42 6A D8 06 90
BT_TX	04 FF 0A 08 00 A0 00 00 00 14 56 00 00
BT_RX	01 08 FC FA 00 A0 00 00 00 14 56 FF 10 F0 EC 72 05 00 E0 8A 07 99 02 30 00 06 00 0E 00 29 05 D1 62 49 2F 22 09 68 52 01 89 18 08 76 61 48 86 42 08 D0 01 30 86 42 05 D0 02 38 86 42 02 D0 01 38 86 42 22 D1 14 98 02 28 1F D1 01 20 00 2F 00 90 04 D1 E0 8A 01 27 01 06 09 0E 03 91 E0 8A 03 99 88 42 09 D1 51 48 01 68 2F 20 40 01 08 18 82 7D 02 32 40 2A 6C D8 4B E0 4C 48 2F 22 00 68 52 01 80 18 80 7D 00 28 63 D1 83 E0 02 99 20 1C 77 F0 C3 FE 01 90 77 F0 AE FE 01 99 23 29 06 D0 07 99 00 29 7E D1 21 88 1B 9A 11 80 5F E7 6B 46 18 8B 21 88 00 09 00 01 08 1A 01 28 06 DD A0 8A C0 07 12 D1 07 98 00 28 6C D1 08 E0 04 98 00 68 80 69 00 78 80 07 08 D4 07 98 00 28 62 D1 20 88 1B 9A 10 80 02 20 42 E7 27 E0 00 2F 04 D1 E0 8A 01 27 01 06 09 0E 03 91 E0 8A 03 99 88 42 2A D1
BT_TX	04 FF 0A 08 00 A0 00 00 00 14 56 00 00
BT_RX	01 08 FC C6 00 A0 00 00 00 14 56 FF 10 BC D8 73 05 00 2A 48 01 68 2F 20 40 01 08 18 82 7D 02 32 40 2A 48 D8 49 19 0B 22 D2 01 89 18 6B 46 1A 7E 0B 1C 20 33 9A 75 6B 46 5A 7E 0B 1C 20 33 DA 75 81 7D 02 35 2D 06 2D 0E 02 31 81 75 01 20 05 90 E4 69 00 2C 00 D0 43 E7 0C 99 01 31 09 06 09 0E 0C 91 0A E0 29 E0 26 E0 15 48 2F 22 00 68 52 01 80 18 80 7D 00 28 1E D1 15 E0 0E 98 0C 99 81 42 00 D8 22 E7 0D 98 10 99 01 30 00 06 00 0E 88 42 0D 90 00 D8 17 E7 09 48 2F 22 00 68 52 01 80 18 80 7D 00 28 04 D1 11 98 1B 9A 10 80 0A 20 E7 E6 00 98 00 28 01 D1 00 20 E2 E6 13 20 E0 E6 BC 5C 04 00 00 63 04 00 02 28 00 00
