Time(seconds),Bus Name,Signal Name,Data
2.768693000,Async 2,BT_RX,19
2.768779000,Async 2,BT_RX,00
2.768865000,Async 2,BT_RX,00
2.768952000,Async 2,BT_RX,D1
2.769038000,Async 2,BT_RX,4C
2.769124000,Async 2,BT_RX,12
2.769210000,Async 2,BT_RX,00
2.769296000,Async 2,BT_RX,00
2.769382000,Async 2,BT_RX,01
2.769469000,Async 2,BT_RX,00
2.769555000,Async 2,BT_RX,01
2.769641000,Async 2,BT_RX,01
2.769727000,Async 2,BT_RX,48
2.769813000,Async 2,BT_RX,62
2.769900000,Async 2,BT_RX,67
2.769986000,Async 2,BT_RX,F5
2.770072000,Async 2,BT_RX,BA
2.770158000,Async 2,BT_RX,65
2.770244000,Async 2,BT_RX,18
2.770330000,Async 2,BT_RX,00
2.770417000,Async 2,BT_RX,00
2.770503000,Async 2,BT_RX,00
2.770589000,Async 2,BT_RX,48
2.770675000,Async 2,BT_RX,00
2.770761000,Async 2,BT_RX,05
2.859716000,Async 2,BT_RX,0B
2.859802000,Async 2,BT_RX,00
2.859888000,Async 2,BT_RX,00
2.859974000,Async 2,BT_RX,D3
2.860061000,Async 2,BT_RX,C1
2.860147000,Async 2,BT_RX,04
2.860233000,Async 2,BT_RX,00
2.860319000,Async 2,BT_RX,01
2.860405000,Async 2,BT_RX,00
2.860492000,Async 2,BT_RX,9E
2.860578000,Async 2,BT_RX,00
2.861870000,Async 2,BT_TX,0C
2.861962000,Async 2,BT_TX,00
2.862054000,Async 2,BT_TX,00
2.862147000,Async 2,BT_TX,D3
2.862239000,Async 2,BT_TX,01
2.862331000,Async 2,BT_TX,05
2.862423000,Async 2,BT_TX,00
2.862516000,Async 2,BT_TX,01
2.862609000,Async 2,BT_TX,00
2.862702000,Async 2,BT_TX,00
2.862794000,Async 2,BT_TX,40
2.862887000,Async 2,BT_TX,00
2.863619000,Async 2,BT_RX,0C
2.863705000,Async 2,BT_RX,00
2.863791000,Async 2,BT_RX,00
2.863878000,Async 2,BT_RX,D3
2.863964000,Async 2,BT_RX,81
2.864050000,Async 2,BT_RX,05
2.864136000,Async 2,BT_RX,00
2.864222000,Async 2,BT_RX,01
2.864308000,Async 2,BT_RX,00
2.864395000,Async 2,BT_RX,00
2.864481000,Async 2,BT_RX,40
2.864567000,Async 2,BT_RX,00
2.920018000,Async 2,BT_RX,0B
2.920104000,Async 2,BT_RX,00
2.920191000,Async 2,BT_RX,00
2.920277000,Async 2,BT_RX,D3
2.920363000,Async 2,BT_RX,C8
2.920449000,Async 2,BT_RX,04
2.920535000,Async 2,BT_RX,00
2.920621000,Async 2,BT_RX,01
2.920708000,Async 2,BT_RX,00
2.920794000,Async 2,BT_RX,22
2.920880000,Async 2,BT_RX,01
2.922136000,Async 2,BT_TX,0C
2.922229000,Async 2,BT_TX,00
2.922321000,Async 2,BT_TX,00
2.922414000,Async 2,BT_TX,D3
2.922506000,Async 2,BT_TX,08
2.922598000,Async 2,BT_TX,05
2.922691000,Async 2,BT_TX,00
2.922783000,Async 2,BT_TX,01
2.922875000,Async 2,BT_TX,00
2.922968000,Async 2,BT_TX,00
2.923060000,Async 2,BT_TX,22
